order_id,customer_name,customer_address,restaurant_name,food_item,quantity,order_amount,delivery_zone,order_hour,delivery_time_minutes,payment_mode,order_status
1,Ankit Patel,"Flat 84, Powai, Mumbai",Chai Point,Burger,2,356.81,Powai,1,,UPI,Cancelled
2,Vikram Verma,"Flat 12, Andheri West, Mumbai",Chai Point,Burger,2,531.5,Andheri West,20,35.492302455178766,Cash,Delayed
3,Amit Khan,"Flat 51, Thane, Thane",Burger King,Biryani,4,450.41,Thane,4,-10.0,Cash,Delivered
4,Priya Singh,"Flat 105, Thane, Thane",Chai Point,Fries,2,99.06,Thane,11,34.98664421213103,UPI,Delayed
5,Kiran Verma,"Flat 8, Thane, Thane",Starbucks,Wrap,3,570.1,Thane,14,50.2648700849524,Cash,Cancelled
6,Ankit Singh,"Flat 102, Andheri West, Mumbai",McDonald's,Pasta,3,415.69,Andheri West,16,25.618565390498603,Card,Cancelled
7,Kiran Reddy,"Flat 78, Bandra, Mumbai",Faasos,Pizza,3,397.73,Bandra,4,42.579490612951275,Card,Cancelled
8,Amit Verma,"Flat 72, Dadar, Mumbai",Haldiram's,Biryani,3,159.35,Dadar,19,31.3587638199118,Card,Delayed
9,Pooja Verma,"Flat 12, Dadar, Mumbai",McDonald's,Burger,3,474.78,Dadar,20,43.31870467837832,Cash,Delayed
10,Pooja Singh,"Flat 50, Vashi, Navi Mumbai",Box8,Biryani,2,144.7,Vashi,19,39.11689885639945,UPI,Cancelled
11,Amit Iyer,"Flat 37, Dadar, Mumbai",Mainland China,Momos,4,480.87,Dadar,2,59.760495367797134,UPI,Cancelled
12,Vikram Nair,"Flat 114, Bandra, Mumbai",Starbucks,Biryani,4,855.81,Bandra,11,29.192900850704177,Cash,Cancelled
13,Suresh Patel,"Flat 23, Andheri East, Mumbai",Domino's Pizza,Wrap,2,159.86,Andheri East,8,34.31920955209031,Card,Delivered
14,Rohit Mehta,"Flat 48, Thane, Thane",Burger King,Fries,1,-7.66,Thane,14,28.9215821685847,Cash,Delayed
15,Vikram Mehta,"Flat 51, Powai, Mumbai",Pizza Hut,Pizza,1,366.71,Powai,6,50.74094824014882,Card,Delivered
16,Rahul Gupta,"Flat 7, Thane, Thane",Starbucks,Burger,3,664.49,Thane,19,23.861697121931485,UPI,Delivered
17,Suresh Khan,"Flat 20, Powai, Mumbai",Rolls Mania,Biryani,4,557.09,Powai,3,10.233866158912416,UPI,Cancelled
18,Pooja Reddy,"Flat 40, Powai, Mumbai",Haldiram's,Fries,3,317.57,Powai,15,4.033777953182366,Cash,Delivered
19,Neha Sharma,"Flat 68, Andheri West, Mumbai",Domino's Pizza,Momos,3,742.4,Andheri West,20,16.93670231600401,UPI,Delayed
20,Ramesh Nair,"Flat 117, Bandra, Mumbai",Starbucks,Pasta,3,384.12,Bandra,20,61.492413168940004,UPI,Delayed
21,Suresh Iyer,"Flat 52, Dadar, Mumbai",Cafe Coffee Day,Wrap,3,414.0,Dadar,23,47.610998632153034,UPI,Delivered
22,Ramesh Reddy,"Flat 25, Bandra, Mumbai",Box8,Momos,3,299.43,Bandra,11,43.520928309919725,UPI,Delivered
23,Rahul Iyer,"Flat 26, Powai, Mumbai",Rolls Mania,Momos,1,89.38,Powai,15,9.374911952494163,Cash,Cancelled
24,Sneha Verma,"Flat 85, Dadar, Mumbai",Biryani Blues,Wrap,2,899.52,Dadar,13,40.74682777636268,Cash,Cancelled
25,Rahul Mehta,"Flat 52, Powai, Mumbai",Subway,Pizza,2,345.08,Powai,0,39.041174457618304,UPI,Delayed
26,Pooja Patel,"Flat 106, Thane, Thane",Barbeque Nation,Pizza,2,497.46,Thane,0,63.680282934979104,UPI,Delayed
27,Sneha Verma,"Flat 96, Thane, Thane",Biryani Blues,Momos,2,500.52,Thane,0,36.521509778174234,Card,Delivered
28,Ramesh Nair,"Flat 98, Andheri West, Mumbai",Faasos,Momos,2,388.1,Andheri West,1,33.01434203649729,Cash,Cancelled
29,Pooja Khan,"Flat 116, Dadar, Mumbai",Cafe Coffee Day,Pizza,2,550.32,Dadar,16,13.475548009466689,Cash,Delivered
30,Pooja Patel,"Flat 1, Thane, Thane",Burger King,Wrap,1,688.62,Thane,17,33.578368243401584,UPI,Cancelled
31,Sneha Nair,"Flat 72, Thane, Thane",Starbucks,Burger,2,68.73,Thane,6,29.467722973282306,Card,Delivered
32,Rahul Nair,"Flat 72, Powai, Mumbai",Rolls Mania,Pasta,2,789.91,Powai,22,-10.0,Card,Cancelled
33,Neha Nair,"Flat 62, Dadar, Mumbai",Cafe Coffee Day,Biryani,2,272.03,Dadar,14,29.248653156027313,UPI,Cancelled
34,Rahul Mehta,"Flat 41, Powai, Mumbai",McDonald's,Pizza,3,240.0,Powai,3,17.096121166127254,UPI,Delayed
35,Sneha Gupta,"Flat 33, Andheri West, Mumbai",Paradise Biryani,Fries,1,214.0,Andheri West,12,30.497093947997556,Card,Delivered
36,Sneha Iyer,"Flat 91, Andheri West, Mumbai",Haldiram's,Wrap,2,393.47,Andheri West,11,57.464586733963756,Card,Delivered
37,Kiran Gupta,"Flat 44, Andheri East, Mumbai",Domino's Pizza,Wrap,3,737.65,Andheri East,16,36.62972557242095,Cash,Cancelled
38,Neha Verma,"Flat 118, Andheri East, Mumbai",KFC,Burger,3,407.45,Andheri East,8,57.54977780625366,UPI,Delivered
39,Ramesh Patel,"Flat 55, Dadar, Mumbai",Behrouz Biryani,Wrap,2,597.01,Dadar,17,39.97961323232747,Cash,Delayed
40,Pooja Gupta,"Flat 36, Andheri East, Mumbai",Faasos,Burger,3,94.4,Andheri East,0,32.10716809475329,Cash,Delivered
41,Ramesh Verma,"Flat 110, Thane, Thane",KFC,Wrap,1,628.87,Thane,10,44.82058555554665,Cash,Cancelled
42,Ramesh Khan,"Flat 6, Andheri West, Mumbai",KFC,Pizza,3,265.29,Andheri West,1,41.23253921447016,UPI,Delivered
43,Ramesh Singh,"Flat 98, Thane, Thane",Subway,Biryani,3,331.85,Thane,0,32.05959031538052,Card,Delivered
